age	isi	cond	force_sd
20	250	0	0.280487804878
40	250	0	0.329268292683
60	250	0	0.490853658537
80	250	0	0.567073170732
20	250	1	0.326219512195
40	250	1	0.375
60	250	1	0.478658536585
80	250	1	0.451219512195
