age	isi	cond	iti_sd
20	500	0	23.6117191628
40	500	0	28.6910294704
60	500	0	34.0084324488
80	500	0	35.2773973711
20	500	1	22.422118464
40	500	1	30.1187228399
60	500	1	30.198949718
80	500	1	30.5155439576
