age	isi	cond	force_mean
20	500	0	1.91940643327
40	500	0	1.87915407855
60	500	0	2.20135063089
80	500	0	2.69282033055
20	500	1	1.68984361116
40	500	1	1.83077128132
60	500	1	2.2739026124
80	500	1	2.49946685623
